date,team,score,suf_score,rank,rank_suf,rank_change,total_points,result,rank_dif,points_by_rank,team_points
2023-09-12,Switzerland,3,0,13.0,154.0,0.0,1661.12,0,-141.0,0.01948051948051948,3
2023-09-12,Israel,1,0,76.0,98.0,0.0,1323.81,0,-22.0,0.030612244897959183,3
2023-09-12,Romania,2,0,48.0,109.0,0.0,1443.98,0,-61.0,0.027522935779816515,3
2023-10-10,China PR,2,0,80.0,95.0,0.0,1304.78,0,-15.0,0.031578947368421054,3
2023-10-11,Wales,4,0,35.0,198.0,0.0,1506.04,0,-163.0,0.015151515151515152,3
2023-10-12,Suriname,1,1,143.0,87.0,0.0,1073.57,2,56.0,0.011494252873563218,1
2023-10-12,Grenada,1,4,174.0,58.0,0.0,960.77,1,116.0,0.0,0
2023-10-12,Cuba,0,0,172.0,79.0,-16.550000000000068,968.29,2,93.0,0.012658227848101266,1
2023-10-12,Dominica,1,1,184.0,206.0,0.0,904.88,2,-22.0,0.0048543689320388345,1
2023-10-12,Colombia,2,2,17.0,16.0,0.0,1624.91,2,1.0,0.0625,1
2023-10-12,Bolivia,1,2,83.0,40.0,0.0,1295.09,1,43.0,0.0,0
2023-10-12,Argentina,1,0,1.0,49.0,0.0,1843.73,0,-48.0,0.061224489795918366,3
2023-10-12,Brazil,1,1,3.0,57.0,0.0,1828.27,2,-54.0,0.017543859649122806,1
2023-10-12,Chile,2,0,32.0,21.0,0.0,1511.31,0,11.0,0.14285714285714285,3
2023-10-12,Afghanistan,1,0,157.0,183.0,0.0,1020.32,0,-26.0,0.01639344262295082,3
2023-10-12,Cambodia,0,0,176.0,201.0,0.0,942.97,2,-25.0,0.004975124378109453,1
2023-10-12,Maldives,1,1,155.0,189.0,-2.8700000000000045,1021.85,2,-34.0,0.005291005291005291,1
2023-10-12,Myanmar,5,1,160.0,182.0,0.0,1000.26,0,-22.0,0.016483516483516484,3
2023-10-12,Nepal,1,1,175.0,187.0,-1.3100000000000591,958.05,2,-12.0,0.0053475935828877,1
2023-10-12,Singapore,2,1,158.0,203.0,0.0,1014.78,0,-45.0,0.014778325123152709,3
2023-10-12,Yemen,3,0,156.0,204.0,0.0,1020.37,0,-48.0,0.014705882352941176,3
2023-10-12,Algeria,5,1,33.0,66.0,0.0,1511.23,0,-33.0,0.045454545454545456,3
2023-10-12,Egypt,1,0,34.0,84.0,0.0,1509.89,0,-50.0,0.03571428571428571,3
2023-10-12,Georgia,8,0,78.0,113.0,0.0,1312.8,0,-35.0,0.02654867256637168,3
2023-10-12,Montenegro,3,2,71.0,100.0,0.0,1343.45,0,-29.0,0.03,3
2023-10-12,Sweden,3,1,23.0,164.0,0.0,1547.11,0,-141.0,0.018292682926829267,3
2023-10-12,Spain,2,0,10.0,30.0,0.0,1703.45,0,-20.0,0.1,3
2023-10-12,Cyprus,0,4,118.0,44.0,0.0,1163.73,1,74.0,0.0,0
2023-10-12,Latvia,2,0,134.0,90.0,0.0,1096.19,0,44.0,0.03333333333333333,3
2023-10-12,Faroe Islands,0,2,129.0,26.0,0.0,1126.3,1,103.0,0.0,0
2023-10-12,Andorra,0,3,154.0,109.0,0.0,1022.3,1,45.0,0.0,0
2023-10-12,Belarus,0,0,98.0,48.0,0.0,1212.28,2,50.0,0.020833333333333332,1
2023-10-13,Curaçao,1,2,88.0,45.0,0.0,1267.87,1,43.0,0.0,0
2023-10-13,Trinidad and Tobago,3,2,102.0,107.0,-3.539999999999964,1199.74,0,-5.0,0.028037383177570093,3
2023-10-13,Montserrat,0,3,179.0,141.0,0.0,938.02,1,38.0,0.0,0
2023-10-13,Barbados,0,5,166.0,152.0,0.0,984.05,1,14.0,0.0,0
2023-10-13,Belize,0,1,177.0,173.0,0.0,939.96,1,4.0,0.0,0
2023-10-13,England,1,0,4.0,27.0,0.0,1797.39,0,-23.0,0.1111111111111111,3
2023-10-13,Equatorial Guinea,0,0,91.0,56.0,0.0,1251.83,2,35.0,0.017857142857142856,1
2023-10-13,Guinea,1,0,81.0,112.0,0.0,1296.75,0,-31.0,0.026785714285714284,3
2023-10-13,Iraq,0,0,70.0,59.0,0.0,1345.21,2,11.0,0.01694915254237288,1
2023-10-13,Japan,4,1,20.0,43.0,0.0,1595.96,0,-23.0,0.06976744186046512,3
2023-10-13,South Korea,4,0,28.0,31.0,0.0,1529.3,0,-3.0,0.0967741935483871,3
2023-10-13,Mali,1,0,51.0,92.0,0.0,1438.01,0,-41.0,0.03260869565217391,3
2023-10-13,Nigeria,2,2,39.0,54.0,0.0,1486.48,2,-15.0,0.018518518518518517,1
2023-10-13,South Africa,0,0,63.0,146.0,-1.240000000000009,1368.25,2,-83.0,0.00684931506849315,1
2023-10-13,Vietnam,0,2,95.0,74.0,0.0,1238.23,1,21.0,0.0,0
2023-10-13,Republic of Ireland,0,2,53.0,50.0,0.0,1426.26,1,3.0,0.0,0
2023-10-13,Netherlands,1,2,7.0,2.0,0.0,1731.23,1,5.0,0.0,0
2023-10-13,Estonia,0,2,111.0,121.0,0.0,1179.3,1,-10.0,0.0,0
2023-10-13,Austria,2,3,29.0,5.0,0.0,1528.06,1,24.0,0.0,0
2023-10-13,Iceland,1,1,67.0,89.0,0.0,1352.98,2,-22.0,0.011235955056179775,1
2023-10-13,Portugal,3,2,9.0,47.0,0.0,1718.25,0,-38.0,0.06382978723404255,3
2023-10-13,Liechtenstein,0,2,200.0,62.0,0.0,848.82,1,138.0,0.0,0
2023-10-13,Angola,1,1,116.0,117.0,-1.6900000000000546,1169.07,2,-1.0,0.008547008547008548,1
2023-10-14,Puerto Rico,1,3,163.0,168.0,0.0,993.8,1,-5.0,0.0,0
2023-10-14,Bahamas,1,4,197.0,132.0,0.0,852.87,1,65.0,0.0,0
2023-10-14,Ivory Coast,1,1,52.0,14.0,0.0,1433.38,2,38.0,0.07142857142857142,1
2023-10-14,Liberia,2,3,148.0,127.0,0.0,1049.94,1,21.0,0.0,0
2023-10-14,Mauritania,2,1,101.0,108.0,0.0,1205.18,0,-7.0,0.027777777777777776,3
2023-10-14,Mexico,2,0,12.0,60.0,26.399999999999864,1665.59,0,-48.0,0.05,3
2023-10-14,Niger,3,0,128.0,196.0,0.0,1129.67,0,-68.0,0.015306122448979591,3
2023-10-14,Sierra Leone,1,1,120.0,93.0,0.0,1156.11,2,27.0,0.010752688172043012,1
2023-10-14,United States,1,3,11.0,15.0,1.1400000000001,1674.48,1,-4.0,0.0,0
2023-10-14,Ukraine,2,0,24.0,68.0,0.0,1541.25,0,-44.0,0.04411764705882353,3
2023-10-14,Italy,4,0,8.0,171.0,0.0,1726.58,0,-163.0,0.017543859649122806,3
2023-10-14,Bulgaria,0,2,77.0,144.0,0.0,1315.48,1,-67.0,0.0,0
2023-10-14,Hungary,2,1,36.0,25.0,0.0,1504.57,0,11.0,0.12,3
2023-10-14,Northern Ireland,3,0,64.0,208.0,0.0,1361.17,0,-144.0,0.014423076923076924,3
2023-10-14,Slovenia,3,0,61.0,55.0,0.0,1391.04,0,6.0,0.05454545454545454,3
2023-10-14,Denmark,3,1,19.0,104.0,0.0,1597.37,0,-85.0,0.028846153846153848,3
2023-10-15,Honduras,4,0,79.0,172.0,12.809999999999944,1309.23,0,-93.0,0.01744186046511628,3
2023-10-15,Haiti,2,3,87.0,58.0,-3.3199999999999363,1272.64,1,29.0,0.0,0
2023-10-15,Suriname,4,0,143.0,174.0,0.0,1073.57,0,-31.0,0.017241379310344827,3
2023-10-15,Sudan,1,1,131.0,124.0,0.0,1116.21,2,7.0,0.008064516129032258,1
2023-10-15,Georgia,4,0,78.0,118.0,0.0,1312.8,0,-40.0,0.025423728813559324,3
2023-10-15,Norway,0,1,44.0,10.0,0.0,1458.47,1,34.0,0.0,0
2023-10-15,Wales,2,1,35.0,6.0,0.0,1506.04,0,29.0,0.5,3
2023-10-15,Poland,1,1,26.0,164.0,0.0,1536.99,2,-138.0,0.006097560975609756,1
2023-10-15,Switzerland,3,3,13.0,98.0,0.0,1661.12,2,-85.0,0.01020408163265306,1
2023-10-15,Romania,4,0,48.0,154.0,0.0,1443.98,0,-106.0,0.01948051948051948,3
2023-10-16,Dominican Republic,5,2,152.0,166.0,0.0,1036.74,0,-14.0,0.018072289156626505,3
2023-10-16,Nicaragua,3,0,141.0,179.0,0.0,1076.11,0,-38.0,0.01675977653631285,3
2023-10-16,Turks and Caicos Islands,2,2,202.0,206.0,0.0,839.39,2,-4.0,0.0048543689320388345,1
2023-10-16,Algeria,1,1,33.0,34.0,0.0,1511.23,2,-1.0,0.029411764705882353,1
2023-10-16,Botswana,2,1,147.0,146.0,1.9400000000000543,1054.31,0,1.0,0.02054794520547945,3
2023-10-16,China PR,1,2,80.0,74.0,0.0,1304.78,1,6.0,0.0,0
2023-10-16,Mozambique,2,3,117.0,39.0,-1.599999999999909,1164.25,1,78.0,0.0,0
2023-10-16,Senegal,1,0,18.0,42.0,0.0,1612.61,0,-24.0,0.07142857142857142,3
2023-10-16,Gibraltar,0,4,198.0,53.0,0.0,851.64,1,145.0,0.0,0
2023-10-16,Greece,0,1,50.0,7.0,0.0,1441.06,1,43.0,0.0,0
2023-10-16,Azerbaijan,0,1,121.0,29.0,0.0,1143.22,1,92.0,0.0,0
2023-10-16,Belgium,1,1,5.0,23.0,0.0,1788.55,2,-18.0,0.043478260869565216,1
2023-10-16,Iceland,4,0,67.0,200.0,0.0,1352.98,0,-133.0,0.015,3
2023-10-16,Bosnia and Herzegovina,0,5,62.0,9.0,0.0,1381.1,1,53.0,0.0,0
2023-10-16,Luxembourg,0,1,89.0,47.0,0.0,1262.72,1,42.0,0.0,0
2023-10-17,Panama,3,0,45.0,107.0,54.71000000000004,1453.94,0,-62.0,0.028037383177570093,3
2023-10-17,Curaçao,5,3,88.0,102.0,0.0,1267.87,0,-14.0,0.029411764705882353,3
2023-10-17,Bermuda,1,1,173.0,177.0,0.0,966.27,2,-4.0,0.005649717514124294,1
2023-10-17,Antigua and Barbuda,2,2,132.0,197.0,0.0,1107.51,2,-65.0,0.005076142131979695,1
2023-10-17,Guyana,3,1,168.0,163.0,0.0,981.69,0,5.0,0.018404907975460124,3
2023-10-17,Venezuela,3,0,57.0,32.0,0.0,1417.23,0,25.0,0.09375,3
2023-10-17,Ecuador,0,0,40.0,17.0,0.0,1486.47,2,23.0,0.058823529411764705,1
2023-10-17,Paraguay,1,0,49.0,83.0,0.0,1442.64,0,-34.0,0.03614457831325301,3
2023-10-17,Peru,0,2,21.0,1.0,0.0,1561.2,1,20.0,0.0,0
2023-10-17,Uruguay,2,0,16.0,3.0,0.0,1633.13,0,13.0,1.0,3
2023-10-17,Bangladesh,2,1,189.0,155.0,2.9400000000000546,892.44,0,34.0,0.01935483870967742,3
2023-10-17,Guam,0,1,203.0,158.0,0.0,838.33,1,45.0,0.0,0
2023-10-17,Laos,0,1,187.0,175.0,0.0,899.58,1,12.0,0.0,0
2023-10-17,Macau,0,0,182.0,160.0,0.0,913.68,2,22.0,0.00625,1
2023-10-17,Mongolia,0,1,183.0,157.0,0.0,908.71,1,26.0,0.0,0
2023-10-17,Pakistan,1,0,201.0,176.0,-4.460000000000036,847.67,0,25.0,0.017045454545454544,3
2023-10-17,Sri Lanka,1,1,204.0,156.0,0.0,825.25,2,48.0,0.00641025641025641,1
2023-10-17,Albania,2,0,65.0,77.0,0.0,1357.39,0,-12.0,0.03896103896103896,3
2023-10-17,Angola,0,0,116.0,69.0,-1.6900000000000546,1169.07,2,47.0,0.014492753623188406,1
2023-10-17,Bahrain,1,0,86.0,135.0,0.0,1282.05,0,-49.0,0.022222222222222223,3
2023-10-17,Benin,1,2,93.0,108.0,0.0,1248.13,1,-15.0,0.0,0
2023-10-17,Burkina Faso,2,1,56.0,101.0,0.0,1419.18,0,-45.0,0.0297029702970297,3
2023-10-17,Cape Verde,1,2,66.0,130.0,0.0,1354.65,1,-64.0,0.0,0
2023-10-17,Estonia,1,1,111.0,113.0,0.0,1179.3,2,-2.0,0.008849557522123894,1
2023-10-17,France,4,1,2.0,30.0,0.0,1843.54,0,-28.0,0.1,3
2023-10-17,Guinea,1,1,81.0,85.0,0.0,1296.75,2,-4.0,0.011764705882352941,1
2023-10-17,Ivory Coast,1,1,52.0,63.0,0.0,1433.38,2,-11.0,0.015873015873015872,1
2023-10-17,South Korea,6,0,28.0,95.0,0.0,1529.3,0,-67.0,0.031578947368421054,3
2023-10-17,Libya,1,1,127.0,128.0,0.0,1130.75,2,-1.0,0.0078125,1
2023-10-17,Mali,3,1,51.0,54.0,0.0,1438.01,0,-3.0,0.05555555555555555,3
2023-10-17,Mexico,2,2,12.0,15.0,26.399999999999864,1665.59,2,-3.0,0.06666666666666667,1
2023-10-17,North Macedonia,3,1,68.0,90.0,0.0,1350.53,0,-22.0,0.03333333333333333,3
2023-10-17,Somalia,0,2,196.0,120.0,0.0,854.72,1,76.0,0.0,0
2023-10-17,Sudan,1,0,131.0,181.0,0.0,1116.21,0,-50.0,0.016574585635359115,3
2023-10-17,Syria,1,2,94.0,137.0,0.0,1241.62,1,-43.0,0.0,0
2023-10-17,United Arab Emirates,2,1,72.0,100.0,0.0,1336.28,0,-28.0,0.03,3
2023-10-17,United States,4,0,11.0,60.0,1.1400000000001,1674.48,0,-49.0,0.05,3
