home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
United Arab Emirates,Nepal,0,-103.0,1.8333333333333335,1.8333333333333335,0.16666666666666663,0.16666666666666663,0.021853137951752023,-79.16666666666667,-79.16666666666667,0.032128306924887606,0.032128306924887606,1,0
Yemen,Bahrain,1,70.0,1.0,1.0,-0.8333333333333333,-0.8333333333333333,0.002486848397895743,67.33333333333334,67.33333333333334,-1.8944775978024797e-05,-1.8944775978024797e-05,1,0
Lebanon,Palestine,1,4.0,0.75,0.75,-0.25,-0.25,0.00813212608987257,4.75,4.75,0.007575757575757576,0.007575757575757576,1,0
Australia,Bangladesh,0,-162.0,0.0,0.0,0.75,0.75,0.11858974358974358,-148.0,-148.0,0.03203034038764468,0.03203034038764468,1,0
Sudan,Togo,1,9.0,-2.3333333333333335,-2.3333333333333335,-1.0,-1.0,-0.040106951871657755,58.66666666666667,58.66666666666667,-0.03724151153308167,-0.03724151153308167,1,0
Nigeria,Lesotho,1,-112.0,3.6666666666666665,3.6666666666666665,0.33333333333333326,0.33333333333333326,0.030812324929971987,67.0,67.0,0.02009619213920289,0.02009619213920289,1,0
Cape Verde,Angola,1,-50.0,1.0833333333333333,1.0833333333333333,2.0833333333333335,2.0833333333333335,0.010870530757272928,16.0,16.0,-0.008074755357364053,-0.008074755357364053,1,0
Burundi,Gambia,0,21.0,-2.0,-2.0,1.0,1.0,-0.018867924528301886,-64.0,-64.0,-0.009433962264150943,-0.009433962264150943,1,0
Gabon,Kenya,0,-20.0,0.0,0.0,0.5,0.5,0.002139453466887096,-22.0,-22.0,-0.019250889307386485,-0.019250889307386485,1,0
Botswana,Mozambique,1,30.0,-1.0,-1.0,0.0,0.0,-0.012894113358848186,5.833333333333329,5.833333333333329,-0.0033522787876940907,-0.0033522787876940907,1,0
Algeria,Somalia,0,-163.0,1.75,1.75,-2.0,-2.0,0.028925619834710745,-63.5,-63.5,0.06239937323903168,0.06239937323903168,1,0
